E_eV,lambda_nm,sigma_200K,sigma_250K,sigma_298K
1.692096048024012,732.7255361466371,2.5918183403235064e-32,2.5672096154876737e-32,2.5303499951810497e-32
1.6940970485242621,731.8600696931935,1.6370123571630196e-32,1.621469297673266e-32,1.5981884785728234e-32
1.6960980490245123,730.9966453372658,3.509861135591661e-33,3.476535803505703e-33,3.426620210744392e-33
1.6980990495247623,730.1352558597731,0.0,0.0,0.0
1.7001000500250125,729.2758940756215,0.0,0.0,0.0
1.7021010505252625,728.4185528335048,0.0,0.0,0.0
1.7041020510255127,727.5632250157053,1.6806790913794666e-35,1.3642182822227712e-34,5.214277503604361e-34
1.7061030515257627,726.7099035378977,2.329876848139203e-34,9.678532339743678e-34,2.7606397232852444e-33
1.7081040520260131,725.8585813489528,1.4317377440950159e-33,4.553086199775949e-33,1.021683016192982e-32
1.710105052526263,725.0092514307445,2.378708193629613e-33,7.334412844936479e-33,1.5860754143237272e-32
1.7121060530265133,724.1619067979547,1.211288870836699e-32,1.7900316365162356e-32,2.7581503034176655e-32
1.7141070535267633,723.3165404978841,2.524824221313321e-32,3.07207408685487e-32,3.9647153229828984e-32
1.7161080540270137,722.4731456102608,3.3764294031253457e-32,3.786642252431303e-32,4.431533055137016e-32
1.7181090545272635,721.6317152470519,3.5943106595479773e-32,3.792157887550802e-32,4.0802768287453645e-32
1.7201100550275135,720.7922425522758,3.1279018624854914e-32,3.0982031467036647e-32,3.0537195989125774e-32
1.722111055527764,719.9547207018155,2.177578739756955e-32,2.1569031255824103e-32,2.1259346258668014e-32
1.724112056028014,719.1191429032351,7.913780886549056e-33,7.838641339452616e-33,7.72609527319104e-33
1.726113056528264,718.2855023955948,0.0,0.0,0.0
1.728114057028514,717.4537924492691,0.0,0.0,0.0
1.7301150575287645,716.6240063657654,0.0,0.0,0.0
1.7321160580290145,715.7961374775451,0.0,0.0,0.0
1.7341170585292647,714.9701791478436,4.660460291024962e-35,3.7829262975902733e-34,1.4458996590471765e-33
1.7361180590295147,714.1461247704941,1.2691744733178443e-33,4.082786435717242e-33,9.282608671846324e-33
1.738119059529765,713.3239677697509,2.462061991426907e-33,7.620435461622738e-33,1.6556927824878e-32
1.7401200600300148,712.503701600115,9.443493455552527e-33,1.5945764116696773e-32,2.6897468453090865e-32
1.7421210605302648,711.6853197461594,2.5301075396690923e-32,3.18281658286997e-32,4.259337489928043e-32
1.7441220610305153,710.8688157223576,3.6587309288801806e-32,4.189001815077556e-32,5.041018286086435e-32
1.7461230615307652,710.0541830729122,4.10401035989169e-32,4.407952922863182e-32,4.8685046952061025e-32
1.7481240620310154,709.2414153715839,3.771075613755626e-32,3.8129602426627316e-32,3.8729425545928444e-32
1.7501250625312659,708.4305062215234,2.8130140712232936e-32,2.7863051433015093e-32,2.746299781440562e-32
1.7521260630315159,707.6214492551034,1.3382878807153264e-32,1.3255811420927645e-32,1.306548641868244e-32
1.7541270635317658,706.8142381337516,0.0,0.0,0.0
1.756128064032016,706.0088665477851,0.0,0.0,0.0
1.758129064532266,705.2053282162469,0.0,0.0,0.0
1.7601300650325165,704.4036168867414,0.0,0.0,0.0
1.7621310655327662,703.6037263352732,2.6239650579462516e-35,2.1298897108465235e-34,8.140805726727452e-34
1.7641320660330162,702.8056503660854,9.962327929747205e-34,3.2506787937509e-33,7.50850965859916e-33
1.7661330665332666,702.0093828114998,2.471024584049741e-33,7.659920473400073e-33,1.6674028778292032e-32
