r_ocl_A,r_oh_A,theta_deg,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,root0_sym,gap_any_eV,gap_app_eV,w1,status,wall_s
1.95,0.9,85.0,74,0.009851568511554287,-536.1752986760777,-536.7539599336931,-536.7763208598386,1.9102509576604427,"A""",0.9719136611699635,2.1984711313669343,0.9333,ok,63.85
2.15,0.9,75.0,74,0.013917022534467369,-536.1365752073779,-536.7257309821846,-536.7523279593735,1.0763411741360966,"A""",0.8372013974029909,1.509617887485473,0.9183,ok,81.52
2.0,0.95,75.0,74,0.011290773859638696,-536.16216090369,-536.7465590554841,-536.770482440279,1.606105446471137,"A""",0.9866733698506669,2.0451305424610506,0.9304,ok,85.84
2.05,0.8,90.0,74,0.010703615150908336,-536.129982638604,-536.7089012570661,-536.7323101365076,1.510990627375581,"A""",0.8292990336481604,1.7650492405353042,0.9252,ok,87.7
1.95,1.05,125.0,74,0.011090797325834807,-536.1557353108379,-536.7399364265973,-536.7631931018227,1.5627321404129015,"A""",0.7164497143387704,2.109547094709832,0.9302,ok,91.47
2.1,1.0,125.0,74,0.012635433236940493,-536.1341415941334,-536.7251055212748,-536.7514394520184,1.007461307734661,"A""",0.48902295150482306,1.56390968463257,0.9163,ok,88.42
2.1,0.85,85.0,74,0.011923567713103728,-536.1403452468876,-536.7239842436661,-536.7487975576897,1.3065554076730308,"A""",0.8134802279431593,1.6157148950352171,0.9214,ok,88.93
2.0,1.1,115.0,74,0.011289507909464636,-536.1481272070149,-536.7366583837703,-536.7610137373633,1.5025615489503115,"A""",0.7905059556245634,1.9247652851247998,0.9273,ok,90.91
2.05,1.15,105.0,74,0.012050743443411139,-536.1344971441672,-536.7276601206453,-536.7532649168992,1.3991854144256397,"A""",0.8216604512253438,1.7632221488559392,0.9242,ok,90.08
2.1,1.2,100.0,74,0.013292512412801183,-536.1150764797718,-536.7131663476396,-536.7402369084284,1.2390995586398181,"A""",0.8021630020209964,1.6125981290651368,0.9207,ok,89.59
2.05,0.95,130.0,74,0.012324020884197973,-536.1391079275094,-536.7255783096742,-536.750597871766,1.0916165989380004,"A""",0.478005038884798,1.7203863874327392,0.9203,ok,90.4
1.95,1.25,100.0,74,0.011260236411319674,-536.128603016659,-536.7216370130725,-536.7461528090608,1.8257422972882031,"A""",0.9526784792282436,2.157532622531331,0.9313,ok,92.21
2.3,1.2,85.0,74,0.01966307980679894,-536.0805037656064,-536.6890521920074,-536.7216088775041,0.7008624115243168,"A""",0.5133201420750714,1.1367715427338012,0.9061,ok,81.17
