==============================================================================
== HOX Phase 2 -- 3D CCSD(T) + EOM-CCSD raster for HOBr
==============================================================================
  r(O-Br) 1.55-2.45 A, 19 points
  r(O-H)  0.8-1.25 A, 10 points
  angle   75.0-135.0 deg, 13 points
  total   2470 geometries, cc-pvtz-dk, 5 EOM roots
  estimate 329 CPU-hours = 11.0 h on 30 workers at 480 s/point
  40 already in /home/johan/projects/strix-halo-photodissociation-dynamics/HOX/HOBr/data/hobr_pes_raster.csv, 2430 to run

  1610/2430  ok=1610 warn=0 bad=0  254 pts/h  eta 194.0 min
  1620/2430  ok=1620 warn=0 bad=0  254 pts/h  eta 191.6 min
  1630/2430  ok=1630 warn=0 bad=0  253 pts/h  eta 189.5 min
  1640/2430  ok=1640 warn=0 bad=0  253 pts/h  eta 187.2 min
  1650/2430  ok=1650 warn=0 bad=0  253 pts/h  eta 184.7 min
  1660/2430  ok=1660 warn=0 bad=0  253 pts/h  eta 182.6 min
  1670/2430  ok=1670 warn=0 bad=0  253 pts/h  eta 180.3 min
  1680/2430  ok=1680 warn=0 bad=0  253 pts/h  eta 177.8 min
  1690/2430  ok=1690 warn=0 bad=0  253 pts/h  eta 175.4 min
  1700/2430  ok=1700 warn=0 bad=0  253 pts/h  eta 173.4 min
  1710/2430  ok=1710 warn=0 bad=0  253 pts/h  eta 170.6 min
  1720/2430  ok=1720 warn=0 bad=0  253 pts/h  eta 168.4 min
  1730/2430  ok=1730 warn=0 bad=0  253 pts/h  eta 165.7 min
  1740/2430  ok=1740 warn=0 bad=0  253 pts/h  eta 163.7 min
  1750/2430  ok=1750 warn=0 bad=0  253 pts/h  eta 161.4 min
  1760/2430  ok=1760 warn=0 bad=0  253 pts/h  eta 159.0 min
  1770/2430  ok=1770 warn=0 bad=0  253 pts/h  eta 156.7 min
  1780/2430  ok=1780 warn=0 bad=0  252 pts/h  eta 154.5 min
  1790/2430  ok=1790 warn=0 bad=0  253 pts/h  eta 151.9 min
  1800/2430  ok=1800 warn=0 bad=0  252 pts/h  eta 149.9 min
  1810/2430  ok=1810 warn=0 bad=0  253 pts/h  eta 147.2 min
  1820/2430  ok=1820 warn=0 bad=0  253 pts/h  eta 144.9 min
  1830/2430  ok=1830 warn=0 bad=0  252 pts/h  eta 142.8 min
  1840/2430  ok=1840 warn=0 bad=0  253 pts/h  eta 140.2 min
  1850/2430  ok=1850 warn=0 bad=0  252 pts/h  eta 137.9 min
  1860/2430  ok=1860 warn=0 bad=0  252 pts/h  eta 135.8 min
  1870/2430  ok=1870 warn=0 bad=0  253 pts/h  eta 133.0 min
  1880/2430  ok=1880 warn=0 bad=0  252 pts/h  eta 130.7 min
  1890/2430  ok=1890 warn=0 bad=0  252 pts/h  eta 128.6 min
  1900/2430  ok=1900 warn=0 bad=0  252 pts/h  eta 126.1 min
  1910/2430  ok=1910 warn=0 bad=0  252 pts/h  eta 123.6 min
  1920/2430  ok=1920 warn=0 bad=0  252 pts/h  eta 121.6 min
  1930/2430  ok=1930 warn=0 bad=0  252 pts/h  eta 119.0 min
  1940/2430  ok=1940 warn=0 bad=0  252 pts/h  eta 116.5 min
  1950/2430  ok=1950 warn=0 bad=0  252 pts/h  eta 114.4 min
  1960/2430  ok=1960 warn=0 bad=0  252 pts/h  eta 112.0 min
  1970/2430  ok=1970 warn=0 bad=0  252 pts/h  eta 109.5 min
  1980/2430  ok=1980 warn=0 bad=0  252 pts/h  eta 107.3 min
  1990/2430  ok=1990 warn=0 bad=0  252 pts/h  eta 104.8 min
  2000/2430  ok=2000 warn=0 bad=0  252 pts/h  eta 102.4 min
  2010/2430  ok=2010 warn=0 bad=0  252 pts/h  eta 100.1 min
  2020/2430  ok=2020 warn=0 bad=0  252 pts/h  eta 97.7 min
  2030/2430  ok=2030 warn=0 bad=0  252 pts/h  eta 95.3 min
  2040/2430  ok=2039 warn=1 bad=0  251 pts/h  eta 93.2 min
  2050/2430  ok=2049 warn=1 bad=0  251 pts/h  eta 90.7 min
  2060/2430  ok=2059 warn=1 bad=0  251 pts/h  eta 88.3 min
  2070/2430  ok=2067 warn=3 bad=0  251 pts/h  eta 86.1 min
  2080/2430  ok=2077 warn=3 bad=0  251 pts/h  eta 83.6 min
  2090/2430  ok=2087 warn=3 bad=0  251 pts/h  eta 81.2 min
  2100/2430  ok=2097 warn=3 bad=0  251 pts/h  eta 78.9 min
  2110/2430  ok=2107 warn=3 bad=0  251 pts/h  eta 76.4 min
  2120/2430  ok=2117 warn=3 bad=0  251 pts/h  eta 74.1 min
  2130/2430  ok=2127 warn=3 bad=0  251 pts/h  eta 71.8 min
  2140/2430  ok=2137 warn=3 bad=0  251 pts/h  eta 69.4 min
  2150/2430  ok=2147 warn=3 bad=0  251 pts/h  eta 67.0 min
  2160/2430  ok=2157 warn=3 bad=0  250 pts/h  eta 64.7 min
  2170/2430  ok=2167 warn=3 bad=0  251 pts/h  eta 62.2 min
  2180/2430  ok=2176 warn=4 bad=0  251 pts/h  eta 59.9 min
  2190/2430  ok=2185 warn=5 bad=0  250 pts/h  eta 57.6 min
  2200/2430  ok=2194 warn=6 bad=0  251 pts/h  eta 55.1 min
  2210/2430  ok=2203 warn=7 bad=0  250 pts/h  eta 52.8 min
  2220/2430  ok=2210 warn=10 bad=0  250 pts/h  eta 50.4 min
  2230/2430  ok=2219 warn=11 bad=0  250 pts/h  eta 48.0 min
  2240/2430  ok=2229 warn=11 bad=0  250 pts/h  eta 45.5 min
  2250/2430  ok=2238 warn=12 bad=0  250 pts/h  eta 43.2 min
  2260/2430  ok=2248 warn=12 bad=0  250 pts/h  eta 40.8 min
  2270/2430  ok=2257 warn=13 bad=0  250 pts/h  eta 38.4 min
  2280/2430  ok=2266 warn=14 bad=0  250 pts/h  eta 36.1 min
  2290/2430  ok=2275 warn=15 bad=0  249 pts/h  eta 33.7 min
  2300/2430  ok=2285 warn=15 bad=0  250 pts/h  eta 31.2 min
  2310/2430  ok=2295 warn=15 bad=0  250 pts/h  eta 28.9 min
  2320/2430  ok=2302 warn=18 bad=0  249 pts/h  eta 26.5 min
  2330/2430  ok=2309 warn=21 bad=0  249 pts/h  eta 24.1 min
  2340/2430  ok=2318 warn=22 bad=0  250 pts/h  eta 21.6 min
  2350/2430  ok=2326 warn=24 bad=0  249 pts/h  eta 19.3 min
  2360/2430  ok=2332 warn=28 bad=0  249 pts/h  eta 16.9 min
  2370/2430  ok=2341 warn=29 bad=0  249 pts/h  eta 14.5 min
  2380/2430  ok=2349 warn=31 bad=0  249 pts/h  eta 12.0 min
  2390/2430  ok=2357 warn=33 bad=0  249 pts/h  eta 9.6 min
  2400/2430  ok=2364 warn=36 bad=0  249 pts/h  eta 7.2 min
  2410/2430  ok=2372 warn=38 bad=0  249 pts/h  eta 4.8 min
  2420/2430  ok=2381 warn=39 bad=0  249 pts/h  eta 2.4 min
  2430/2430  ok=2389 warn=41 bad=0  250 pts/h  eta 0.0 min

done: 2389 ok, 41 warned, 0 failed, 583.6 min
measured 432 CPU-s per point (was assuming 480)
-> the full 2470-point raster is 297 CPU-hours = 9.9 h on 30 workers

inspect: awk -F, 'NR==1||$14!="ok"' /home/johan/projects/strix-halo-photodissociation-dynamics/HOX/HOBr/data/hobr_pes_raster.csv | head -30
