r1_A,r2_A,theta_deg,nbf,e_hf_Ha,e_ccsd_t_Ha,t1_diag,status,wall_s
0.9222594660307525,0.8282758463094337,65.0,92,-75.97898958403727,-76.25881962369796,0.009235957816799974,ok,9.78
0.9768305109495515,0.65,65.0,92,-75.79031540563489,-76.06631427995774,0.008887656887120494,ok,9.39
0.9222594660307525,0.8730626691931039,65.0,92,-75.99467909734581,-76.27626759385505,0.009580078256201918,ok,9.92
0.9222594660307525,0.9222594660307525,65.0,92,-76.00389463769487,-76.28749137140508,0.010009491042474561,ok,9.64
0.9768305109495515,0.7138970767665203,65.0,92,-75.89274316999592,-76.17075525495352,0.009128782104386337,ok,9.36
0.9768305109495515,0.7871730137334912,65.0,92,-75.96037063087397,-76.24095372559167,0.00951444996996707,ok,9.29
0.9768305109495515,0.7491939040506499,65.0,92,-75.93057530802703,-76.20979400459876,0.00929965092835899,ok,9.67
0.9768305109495515,0.8282758463094337,65.0,92,-75.98270843694421,-76.26483851315722,0.009783866163264059,ok,9.24
1.0380956121167133,0.65,65.0,92,-75.78921921126653,-76.06785383464216,0.009595631077158235,ok,8.04
1.0380956121167133,0.6809285230878754,65.0,92,-75.84499710848446,-76.12458006228252,0.009697237343140493,ok,7.72
0.9768305109495515,0.8730626691931039,65.0,92,-75.99810399281606,-76.2819939059028,0.01012183430941366,ok,9.78
0.9768305109495515,0.9768305109495515,65.0,92,-76.00979365279134,-76.2979931066445,0.011082423179128352,ok,9.6
0.9768305109495515,0.9222594660307525,65.0,92,-76.00700706705652,-76.29290558643986,0.010546630866199521,ok,9.87
1.0380956121167133,0.7138970767665203,65.0,92,-75.89134202757941,-76.17199704250943,0.009827306076726402,ok,8.96
1.0380956121167133,0.7491939040506499,65.0,92,-75.92897083012369,-76.21083629983605,0.009992380042027944,ok,8.96
1.0380956121167133,0.7871730137334912,65.0,92,-75.95853074392195,-76.24176428129098,0.010201024604571052,ok,9.67
1.1079297093491922,0.65,65.0,92,-75.78237165193171,-76.064095087247,0.010470081305209045,ok,8.72
1.1079297093491922,0.7138970767665203,65.0,92,-75.884223662034,-76.16797456210261,0.010693162829859363,ok,8.72
1.1079297093491922,0.6809285230878754,65.0,92,-75.83803155457298,-76.12070666253723,0.010567771393978739,ok,8.92
1.1079297093491922,0.7491939040506499,65.0,92,-75.92166482912744,-76.2066300554825,0.010853028254277235,ok,8.69
1.0380956121167133,0.8730626691931039,65.0,92,-75.99570684188731,-76.2822521009722,0.01079792833260619,ok,9.61
1.0380956121167133,0.8282758463094337,65.0,92,-75.98060332669782,-76.26538689691105,0.010464535153730324,ok,9.94
1.1891257633877539,0.6809285230878754,65.0,92,-75.82530155257493,-76.1117065213512,0.011657921751423113,ok,8.38
1.0380956121167133,0.9768305109495515,65.0,92,-76.00674838661182,-76.29760050853996,0.011761720900542125,ok,10.13
1.0380956121167133,0.9222594660307525,65.0,92,-76.00429489247325,-76.29284874363982,0.011221282404277052,ok,10.39
1.1079297093491922,0.8282758463094337,65.0,92,-75.97282119433821,-76.26071100409547,0.011315609697053855,ok,9.85
1.1079297093491922,0.7871730137334912,65.0,92,-75.95100298341366,-76.23733991549558,0.011056419234240694,ok,9.91
1.1079297093491922,0.8730626691931039,65.0,92,-75.98764012841845,-76.27729282818993,0.011647310785290884,ok,9.94
1.0380956121167133,1.0380956121167133,65.0,92,-76.00335818373277,-76.2968564962963,0.012456373525359785,ok,10.79
1.1891257633877539,0.65,65.0,92,-75.76974046748519,-76.05519272597873,0.011563349184893474,ok,9.54
1.1079297093491922,0.9768305109495515,65.0,92,-75.99803676552852,-76.2919888648028,0.01262981172801161,ok,10.24
1.1079297093491922,0.9222594660307525,65.0,92,-75.99591679637564,-76.28757650197241,0.012074695643402068,ok,10.48
1.1079297093491922,1.1079297093491922,65.0,92,-75.98487880993815,-76.28453061281928,0.014323305025129246,ok,10.03
1.1891257633877539,0.7138970767665203,65.0,92,-75.87136052747704,-76.15884299340014,0.011779621698345975,ok,9.82
1.1079297093491922,1.0380956121167133,65.0,92,-75.9942971543917,-76.29088315460093,0.01335772172522407,ok,10.55
1.1891257633877539,0.7871730137334912,65.0,92,-75.93776791724858,-76.22784025644741,0.012135542623519777,ok,9.62
