r1_A,r2_A,theta_deg,nbf,ncas,nelecas,e_gs_casscf_Ha,e_ex_casscf_Ha,e_gs_nevpt2_Ha,e_ex_nevpt2_Ha,mu_x,mu_y,mu_z,mu_abs,status,wall_s
1.4691596244932197,1.0990821169362144,55.0,92,6,8,-75.98132876111748,-75.8598063715739,-76.19034005486652,-76.06126473184307,-0.07430205332973976,-3.465822183652763e-16,2.883866583193679e-17,0.07430205332973976,ok,6.57
1.4691596244932197,0.9730484681624365,55.0,92,6,8,-75.98758295118097,-75.8680873088829,-76.1973035984267,-76.06922205953283,0.08111382780695024,-2.2017914683182617e-15,5.576927640516667e-14,0.08111382780695024,ok,8.13
1.4691596244932197,1.17311930899858,55.0,92,6,8,-75.97192696793343,-75.84976460855634,-76.18015690413826,-76.05132593619024,-0.07079691295118773,-6.155247213076187e-16,-1.1479877653242427e-16,0.07079691295118773,ok,6.46
1.4691596244932197,1.4691596244932197,55.0,92,6,8,-75.9263738628046,-75.81161284482909,-76.12920955880637,-76.0149884648177,0.06508118937648914,-1.8774428301595165e-14,1.8401150451192072e-14,0.06508118937648914,ok,4.58
1.4691596244932197,1.2571204432701741,55.0,92,6,8,-75.95916219684463,-75.83692101597809,-76.16623920662911,-76.03855348800357,-0.06777074277478046,-1.5557282444993773e-15,1.4865493426827753e-15,0.06777074277478046,ok,7.24
1.6101543756409509,0.9730484681624365,55.0,92,6,8,-75.97464166218845,-75.88850727090954,-76.17912157785007,-76.08629472103658,-0.06460306794500693,-4.483687507438001e-15,1.17973914611998e-13,0.06460306794500693,ok,4.3
1.6101543756409509,1.0328937646339662,55.0,92,6,8,-75.9731460592794,-75.88594947907603,-76.17744519745102,-76.08376633393544,0.06183296176056324,1.2550128513909975e-14,-2.9779001415812044e-13,0.06183296176056324,ok,4.52
1.6101543756409509,0.8682146206261605,55.0,92,6,8,-75.96050455196487,-75.87645504832449,-76.1648318572676,-76.07372705840247,0.06880687836455128,-1.1462437781445546e-14,4.890968522202538e-13,0.06880687836455128,ok,6.56
1.6101543756409509,0.7,55.0,92,6,8,-75.83743355318275,-75.75714328220137,-76.04062885178918,-75.95283748936113,-0.07245265405433496,-4.2801744180435795e-15,8.211743565685252e-15,0.07245265405433496,ok,8.98
1.6101543756409509,1.2571204432701741,55.0,92,6,8,-75.94307035795927,-75.85302538137458,-76.145132295168,-76.04960189896227,-0.05129729303810741,-6.498788575548418e-15,6.642499587986161e-14,0.05129729303810741,ok,5.56
1.6101543756409509,0.738001992915057,55.0,92,6,8,-75.88277874641562,-75.80160969556181,-76.08628082731444,-75.9976536300836,0.0720540069088418,8.724614040795319e-14,-3.5300520554150436e-12,0.0720540069088418,ok,8.15
1.6101543756409509,1.0990821169362144,55.0,92,6,8,-75.96695166169211,-75.8787107365423,-76.17083495933792,-76.07635318112169,0.05863427513342151,6.446386275376979e-15,-1.2085154604882021e-13,0.05863427513342151,ok,6.83
1.6101543756409509,0.7784650775728821,55.0,92,6,8,-75.91760278075807,-75.83551291374111,-76.12141529445239,-76.03198739934128,0.0713406083123012,6.048033962639502e-14,-2.4816316816980853e-12,0.0713406083123012,ok,8.72
1.6101543756409509,1.6101543756409509,55.0,92,6,8,-75.8881630041428,-75.80188057277729,-76.08262199049145,-75.99641717360723,0.045732559978957754,4.8681293129043086e-14,-5.0525801017559323e-14,0.045732559978957754,ok,5.09
1.6101543756409509,0.9184360891594576,55.0,92,6,8,-75.9707012969567,-75.88562116683087,-76.17517304723121,-76.08321120896802,-0.066925722875884,-1.4274813504711424e-14,4.703472633504693e-13,0.066925722875884,ok,8.48
1.4691596244932197,1.3541907073778483,55.0,92,6,8,-75.94367315622216,-75.82261586987168,-76.14910304262528,-76.02487733629219,0.06622786849544425,1.5503168224479258e-15,5.750164261205957e-15,0.06622786849544425,ok,11.27
1.6101543756409509,1.4691596244932197,55.0,92,6,8,-75.9078979105678,-75.817548334652,-76.10589725978292,-76.0118497602373,-0.045103594950318106,-2.902041160473079e-15,5.150756221645218e-15,0.045103594950318106,ok,9.15
1.7925140766422638,1.2571204432701741,55.0,92,6,8,-75.92656328064663,-75.86952756400396,-76.12318087084914,-76.06173835756786,-0.037997862573228,-1.4862145288392777e-15,3.408451585611006e-14,0.037997862573228,ok,3.79
1.7925140766422638,0.7,55.0,92,6,8,-75.82608297553193,-75.77582129601619,-76.02387262424209,-75.96870626033342,0.05208685561879724,9.51919780647904e-17,2.1933462010301904e-14,0.05208685561879724,ok,7.83
1.7925140766422638,1.0328937646339662,55.0,92,6,8,-75.95916342603411,-75.90435139777759,-76.15813642033586,-76.0987329444502,0.04637471354192827,3.93959974250483e-15,-6.048508732416674e-14,0.04637471354192827,ok,5.62
1.7925140766422638,0.8217302352684964,55.0,92,6,8,-75.9311630541061,-75.87911048284143,-76.12982642110734,-76.07292394247749,0.05152229478741859,1.0802251991314771e-14,-5.476950794411541e-14,0.05152229478741859,ok,6.66
1.4691596244932197,1.0328937646339662,55.0,92,6,8,-75.98676490616947,-75.86617554757579,-76.19625573860522,-76.06750289106078,0.07781871019218664,-1.3878226000377644e-15,3.444999010821235e-14,0.07781871019218664,ok,20.32
