basis,E_eV,lambda_nm,sigma_200K,sigma_220K,sigma_250K,sigma_298K
cc-pvtz-dk,1.2521260630315156,990.1894230986816,4.856343888234816e-32,1.1013785064884607e-31,2.930905659873123e-31,9.22728472387363e-31
cc-pvtz-dk,1.2541270635317658,988.6095436840845,9.949614056214902e-31,9.89563220146975e-31,9.79311744466336e-31,9.584301041431847e-31
cc-pvtz-dk,1.256128064032016,987.0346977363599,3.286372024618704e-30,3.2685417393162606e-30,3.2346809657248806e-30,3.165708603381551e-30
cc-pvtz-dk,1.258129064532266,985.4648612389663,4.9830908409490634e-30,4.956054969563681e-30,4.904712239803731e-30,4.800130182599923e-30
cc-pvtz-dk,1.2601300650325162,983.9000103279078,5.7473831761966395e-30,5.716200619563863e-30,5.6569830875820165e-30,5.5363605311626516e-30
cc-pvtz-dk,1.2621310655327664,982.340121290527,5.879898164088532e-30,6.085190711807279e-30,6.468081256819137e-30,7.220867504142731e-30
cc-pvtz-dk,1.2641320660330164,980.7851705643055,4.904709958225231e-30,5.323095301673364e-30,6.1045534989211264e-30,7.645422255171137e-30
cc-pvtz-dk,1.2661330665332666,979.2351347356775,2.9679717776484245e-30,3.5226211573960155e-30,4.559156318456785e-30,6.605213006739847e-30
cc-pvtz-dk,1.2681340670335168,977.6899905388559,1.1514007621346241e-30,1.7337682668190065e-30,2.8224167429696474e-30,4.972581393904401e-30
cc-pvtz-dk,1.2701350675337668,976.1497148546672,1.0158764570827628e-30,1.5688088018836964e-30,2.674131415679028e-30,5.14074544896283e-30
cc-pvtz-dk,1.272136068034017,974.6142847093982,6.8627651449383115e-31,1.1083991622667801e-30,2.035001583959007e-30,4.408855934528192e-30
cc-pvtz-dk,1.2741370685342672,973.0836772736551,2.179937772284436e-31,4.254138150259328e-31,9.912674602538189e-31,2.8131804273607622e-30
cc-pvtz-dk,1.2761380690345172,971.5578698612309,1.3250868467474282e-31,3.0051870415804855e-31,7.997177770635835e-31,2.5177281305016218e-30
cc-pvtz-dk,1.2781390695347674,970.0368399279843,1.1200901386244235e-31,2.540271513718986e-31,6.759979528664834e-31,2.128224619868785e-30
cc-pvtz-dk,1.2801400700350176,968.5205650707306,6.941101589663883e-32,1.5741842583943149e-31,4.189100772740939e-31,1.3188423665862037e-30
cc-pvtz-dk,1.2821410705352676,967.0090230261412,4.645303085292471e-31,4.779063968816268e-31,5.202796744866897e-31,6.726507791820732e-31
cc-pvtz-dk,1.2841420710355178,965.5021916696531,3.1246296487954186e-30,3.1076769003892317e-30,3.0754826216215834e-30,3.0099048091551336e-30
cc-pvtz-dk,1.2861430715357678,964.0000490143913,5.2410557061458376e-30,5.21262024058487e-30,5.1586195981389785e-30,5.048623532411206e-30
cc-pvtz-dk,1.288144072036018,962.502573210097,6.38287643085601e-30,6.348245991283177e-30,6.282480724275087e-30,6.148520824822503e-30
cc-pvtz-dk,1.290145072536268,961.0097425420706,6.711695511324829e-30,6.879252324407476e-30,7.191457033574511e-30,7.804061698390418e-30
cc-pvtz-dk,1.2921460730365182,959.52153543012,5.919087311027371e-30,6.344979461449193e-30,7.14031109840725e-30,8.707950627673416e-30
cc-pvtz-dk,1.2941470735367684,958.0379304275222,3.971687421524127e-30,4.578603238109359e-30,5.712699049687759e-30,7.950877733834855e-30
cc-pvtz-dk,1.2961480740370184,956.5589062199923,1.3316817499073655e-30,2.0052336557524726e-30,3.264337657965011e-30,5.75116511119451e-30
cc-pvtz-dk,1.2981490745372686,955.0844416246628,1.2227052611004971e-30,1.874718618216941e-30,3.155118944925042e-30,5.9274311978480245e-30
cc-pvtz-dk,1.3001500750375188,953.6145155890727,8.973584948404626e-31,1.4293496146877087e-30,2.5670270472663163e-30,5.380280233229284e-30
cc-pvtz-dk,1.3021510755377688,952.1491071901652,3.9241748996684728e-31,6.9941014630721855e-31,1.4722078019846583e-30,3.7851316269825e-30
cc-pvtz-dk,1.304152076038019,950.688195633295,1.5558991514684512e-31,3.5286502009104165e-31,9.390178566798762e-31,2.956282504419423e-30
cc-pvtz-dk,1.3061530765382692,949.2317602512446,1.3898707058387909e-31,3.1521114596462307e-31,8.388161983552258e-31,2.640820548811519e-30
cc-pvtz-dk,1.3081540770385192,947.7797805032504,9.512931424641031e-32,2.1574539295252805e-31,5.7412541607714804e-31,1.8075022863702784e-30
cc-pvtz-dk,1.3101550775387694,946.3322359740358,3.190214441215656e-32,7.235141698174002e-32,1.925361501812129e-31,6.061559406990438e-31
cc-pvtz-dk,1.3121560780390196,944.8891063728554,2.839172567317534e-30,2.8237685727244348e-30,2.7945154696768728e-30,2.7349286555239657e-30
cc-pvtz-dk,1.3141570785392696,943.4503715325466,5.4342017182592646e-30,5.404718334667346e-30,5.3487276334766565e-30,5.23467793759598e-30
cc-pvtz-dk,1.3161580790395198,942.0160114085899,7.026411445329158e-30,6.988289492067612e-30,6.915893632643336e-30,6.768427614630114e-30
