r_obr_A,r_oh_A,theta_deg,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,root0_sym,gap_any_eV,gap_app_eV,w1,status,wall_s
1.55,1.05,125.0,87,0.0057613215305126675,-2679.861403699584,-2680.3974256299866,-2680.415811667671,3.9353962007890875,"A""",0.75392304290956,2.784485056421692,0.9556,ok,411.53
1.55,1.05,135.0,87,0.005844397591068323,-2679.853506030891,-2680.3892522560495,-2680.4075667023335,3.785229610159633,"A""",0.6053186806388455,2.993777789141732,0.9554,ok,412.09
1.55,1.1,80.0,87,0.006184410470062397,-2679.8114406175905,-2680.3558557734286,-2680.3756241168066,3.808254246299379,"A""",0.6912565457586158,2.2992502777377366,0.953,ok,407.78
1.55,1.1,90.0,87,0.005896273207130713,-2679.834430384323,-2680.3761276103924,-2680.3954036865503,3.8944585786088903,"A""",0.8068933478468379,2.1712200207282932,0.9533,ok,408.49
1.55,1.05,120.0,87,0.005717556803092413,-2679.8637627602484,-2680.399998822825,-2680.4184255954915,3.991911432199585,"A""",0.8106782414964453,2.686345515376088,0.9557,ok,454.02
1.55,1.1,95.0,87,0.00583641782870691,-2679.842625358465,-2680.3833044790804,-2680.402419533634,3.9228141198034314,"A""",0.8482246909659014,2.1665891840335023,0.9534,ok,417.57
1.55,1.1,120.0,87,0.006005174254416184,-2679.854279105624,-2680.392225151593,-2680.410962134231,3.8422863942335974,"A""",0.8129489118392956,2.4984796595594077,0.9536,ok,399.82
1.55,1.05,130.0,87,0.005805272300278099,-2679.857911838268,-2680.393777876593,-2680.412127386802,3.866030531049228,"A""",0.6847577818027472,2.8877519119876993,0.9555,ok,444.51
1.55,1.1,115.0,87,0.005937811304792982,-2679.855363475168,-2680.393615856294,-2680.412396399468,3.890348510157125,"A""",0.8532899208684536,2.4003775420613436,0.9537,ok,411.02
1.55,1.1,100.0,87,0.005821554953130176,-2679.8486931124603,-2680.3885418008367,-2680.40753629185,3.937874767444118,"A""",0.8745720234190003,2.192632606055859,0.9536,ok,422.61
1.55,1.1,75.0,87,0.006396963627687094,-2679.796593138507,-2680.3427624962796,-2680.3628774790914,3.7566684238491086,"A""",0.6268861633645858,2.4375570650510006,0.9528,ok,451.72
1.55,1.1,85.0,87,0.006011789588610965,-2679.8240436627475,-2680.3669757467087,-2680.3864657504405,3.8552378384589887,"A""",0.7531963662460204,2.2130517950549673,0.9531,ok,450.52
1.55,1.1,105.0,87,0.0058397304233616665,-2679.852741200513,-2680.391922858049,-2680.4108266068715,3.938011491221853,"A""",0.8844785219882395,2.2435215777233135,0.9537,ok,439.46
1.55,1.15,90.0,87,0.006081887939879825,-2679.8237449265125,-2680.3672059074656,-2680.3867923444823,3.6955602861220376,"A""",0.7673041500454628,2.054050145450798,0.9504,ok,254.19
1.55,1.15,75.0,87,0.006613679104777492,-2679.7873557190414,-2680.335224556322,-2680.355705521046,3.538495679428597,"A""",0.5575945208567309,2.341363042627327,0.9505,ok,434.01
1.55,1.1,110.0,87,0.00588089078876767,-2679.854910282018,-2680.393566882018,-2680.412401402052,3.922292075306114,"A""",0.8773555147809149,2.314196887423116,0.9537,ok,447.16
1.55,1.1,130.0,87,0.006153831073876119,-2679.8482696100973,-2680.385796274244,-2680.4044620853215,3.7005214693364143,"A""",0.6888785051456535,2.7186369616962134,0.9533,ok,440.23
1.55,1.1,125.0,87,0.006078662498774209,-2679.851847296791,-2680.3895599422776,-2680.4082598414325,3.778663861503186,"A""",0.7575530172227943,2.605462247331853,0.9535,ok,440.71
1.55,1.1,135.0,87,0.006224965519378392,-2679.8437606984803,-2680.3811251492943,-2680.3997565862187,3.6094517472084733,"A""",0.6092692120224311,2.8354694366571227,0.9531,ok,439.58
