basis,r_ox_A,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,w1_app,root0_sym,gap_any_eV,gap_app_eV,status,wall_s,omega1_eV,sym1,w1_1,omega2_eV,sym2,w1_2,omega3_eV,sym3,w1_3,omega4_eV,sym4,w1_4,omega5_eV,sym5,w1_5,omega6_eV,sym6,w1_6
cc-pvtz-dk,2.45,87,0.010602405166041743,-2679.8266356589634,-2680.394894313723,-2680.4258856710608,0.6947519259022642,0.8957,"A""",0.22944012435270175,0.9269470814139663,warn:w1,563.04,0.6947519259022642,"A""",0.8957,0.924192050254966,A',0.9545,1.3095616093210254,A',0.8957,1.6216990073162305,"A""",0.8662,5.321064539015371,A',0.8845,5.696908638186369,"A""",0.0009
cc-pvtz-dk,2.7,87,0.013458842894497948,-2679.7889446414833,-2680.371628225661,-2680.4103822800994,0.35596859590452734,0.8606,A',-0.34533583117352096,0.5633155428767136,warn:Ap_below+w1,573.58,0.010632764731006387,A',0.971,0.35596859590452734,"A""",0.8606,0.7450295445601736,A',0.8405,0.9192841387812409,"A""",0.8286,4.519647243966354,"A""",0.0007,4.531764297977029,A',0.0069
cc-pvtz-dk,1.85,87,0.006320217151095642,-2679.913991045077,-2680.456340806496,-2680.47702767171,2.7939746474591005,0.9481,"A""",0.8366954098826509,3.1071282547558603,ok,575.99,2.7939746474591005,"A""",0.9481,3.6306700573417516,A',0.9516,5.901102902214961,"A""",0.9311,6.138169133543893,A',0.9575,7.842309317918611,"A""",0.9364,9.004855046603696,A',0.9312
cc-pvtz-dk,2.1,87,0.00763360244783544,-2679.884583393204,-2680.436084173839,-2680.459846582204,1.647271136724326,0.9321,"A""",0.7036197442821227,1.8700051037521683,ok,590.28,1.647271136724326,"A""",0.9321,2.350890881006449,A',0.9338,3.456465978310728,A',0.961,3.517276240476494,"A""",0.9114,7.040155544914817,A',0.9186,8.141214361465364,"A""",0.9282
cc-pvtz-dk,2.6,87,0.012269873204282857,-2679.803330413194,-2680.380062433044,-2680.4154647238256,0.4663677128911961,0.8753,A',-0.13068020743072842,0.6871111535201225,warn:Ap_below+w1,590.41,0.33568750546046766,A',0.9682,0.4663677128911961,"A""",0.8753,0.926556771391696,A',0.8591,1.1534788664113187,"A""",0.8438,4.921083932819355,"A""",0.0007,4.921851670300201,A',0.4638
cc-pvtz-dk,1.5,87,0.005270923768256074,-2679.8415893541514,-2680.3757019420054,-2680.393538695132,4.37015094527122,0.9585,"A""",0.9075650201034913,2.6453790222461064,ok,650.0,4.37015094527122,"A""",0.9585,5.277715965374711,A',0.9616,7.015529967517327,"A""",0.9501,8.05034628755825,A',0.951,10.643636795403033,"A""",0.9351,10.653619961429424,A',0.9462
aug-cc-pvtz-dk,1.6,128,0.006208747925767324,-2679.892350527341,-2680.450063694863,-2680.4702977543793,3.95116662025328,0.9549,"A""",0.8568814080984875,2.2587027766322136,ok,1511.28,3.95116662025328,"A""",0.9549,4.8080480283517675,A',0.9586,6.209869396885494,"A""",0.9481,7.0841889601826376,A',0.952,7.616423198864206,"A""",0.9507,7.875667293855225,A',0.9532
aug-cc-pvtz-dk,1.55,128,0.006048813718466319,-2679.8726368482817,-2680.429769231778,-2680.449603732321,4.08548321031764,0.9555,"A""",0.8632974171449134,2.0209829905744696,ok,1563.5,4.08548321031764,"A""",0.9555,4.948780627462553,A',0.959,6.106466200892109,"A""",0.95,6.990724270052245,A',0.9535,7.438938929725314,"A""",0.9517,7.6833486324098015,A',0.9543
aug-cc-pvtz-dk,2.4,128,0.010874341643740335,-2679.837350663214,-2680.421087153956,-2680.452696459038,0.7948808148842219,0.9033,"A""",0.346497803853507,1.025901526951978,ok,1457.97,0.7948808148842219,"A""",0.9033,1.1413786187377288,A',0.935,1.4685100259495123,A',0.9255,1.8207823418362,"A""",0.8775,5.496060965774605,A',0.8911,6.13873395085281,"A""",0.002
aug-cc-pvtz-dk,1.5,128,0.0059030179201796235,-2679.8446775920006,-2680.401409334667,-2680.420865951614,4.146438642780069,0.9558,"A""",0.8656843856176191,1.8698880712867416,ok,2247.18,4.146438642780069,"A""",0.9558,5.0121230283976885,A',0.9591,6.01632671406681,"A""",0.9518,6.911536460516887,A',0.9549,7.239419730275072,"A""",0.9527,7.476599114232959,A',0.9552
