==============================================================================
== HOX Phase 1 -- 3D CCSD(T) + EOM-CCSD raster for HOCl
==============================================================================
  r(O-Cl) 1.4-2.4 A, 21 points
  r(O-H)  0.8-1.25 A, 10 points
  angle   75.0-135.0 deg, 13 points
  total   2730 geometries, def2-tzvp, 4 EOM roots
  estimate 84 CPU-hours = 2.8 h on 30 workers at 111 s/point
  60 already in hocl_pes_raster.csv, 2670 to run

  1880/2670  ok=1880 warn=0 bad=0  1057 pts/h  eta 44.8 min
  1890/2670  ok=1890 warn=0 bad=0  1058 pts/h  eta 44.2 min
  1900/2670  ok=1900 warn=0 bad=0  1061 pts/h  eta 43.6 min
  1910/2670  ok=1910 warn=0 bad=0  1061 pts/h  eta 43.0 min
  1920/2670  ok=1920 warn=0 bad=0  1058 pts/h  eta 42.5 min
  1930/2670  ok=1930 warn=0 bad=0  1062 pts/h  eta 41.8 min
  1940/2670  ok=1940 warn=0 bad=0  1062 pts/h  eta 41.2 min
  1950/2670  ok=1950 warn=0 bad=0  1061 pts/h  eta 40.7 min
  1960/2670  ok=1960 warn=0 bad=0  1062 pts/h  eta 40.1 min
  1970/2670  ok=1970 warn=0 bad=0  1063 pts/h  eta 39.5 min
  1980/2670  ok=1980 warn=0 bad=0  1061 pts/h  eta 39.0 min
  1990/2670  ok=1990 warn=0 bad=0  1062 pts/h  eta 38.4 min
  2000/2670  ok=2000 warn=0 bad=0  1064 pts/h  eta 37.8 min
  2010/2670  ok=2010 warn=0 bad=0  1062 pts/h  eta 37.3 min
  2020/2670  ok=2020 warn=0 bad=0  1062 pts/h  eta 36.7 min
  2030/2670  ok=2030 warn=0 bad=0  1063 pts/h  eta 36.1 min
  2040/2670  ok=2040 warn=0 bad=0  1063 pts/h  eta 35.5 min
  2050/2670  ok=2050 warn=0 bad=0  1064 pts/h  eta 34.9 min
  2060/2670  ok=2060 warn=0 bad=0  1064 pts/h  eta 34.4 min
  2070/2670  ok=2070 warn=0 bad=0  1065 pts/h  eta 33.8 min
  2080/2670  ok=2080 warn=0 bad=0  1065 pts/h  eta 33.2 min
  2090/2670  ok=2090 warn=0 bad=0  1065 pts/h  eta 32.7 min
  2100/2670  ok=2100 warn=0 bad=0  1065 pts/h  eta 32.1 min
  2110/2670  ok=2110 warn=0 bad=0  1066 pts/h  eta 31.5 min
  2120/2670  ok=2120 warn=0 bad=0  1065 pts/h  eta 31.0 min
  2130/2670  ok=2130 warn=0 bad=0  1066 pts/h  eta 30.4 min
  2140/2670  ok=2140 warn=0 bad=0  1066 pts/h  eta 29.8 min
  2150/2670  ok=2150 warn=0 bad=0  1065 pts/h  eta 29.3 min
  2160/2670  ok=2160 warn=0 bad=0  1067 pts/h  eta 28.7 min
  2170/2670  ok=2170 warn=0 bad=0  1067 pts/h  eta 28.1 min
  2180/2670  ok=2179 warn=1 bad=0  1066 pts/h  eta 27.6 min
  2190/2670  ok=2188 warn=2 bad=0  1067 pts/h  eta 27.0 min
  2200/2670  ok=2198 warn=2 bad=0  1069 pts/h  eta 26.4 min
  2210/2670  ok=2207 warn=3 bad=0  1067 pts/h  eta 25.9 min
  2220/2670  ok=2216 warn=4 bad=0  1068 pts/h  eta 25.3 min
