E_eV,lambda_nm,sigma_200K,sigma_250K,sigma_298K
1.7141070535267633,723.3165404978841,1.2624121106566606e-32,1.536037043427435e-32,1.9823576614914492e-32
1.7161080540270137,722.4731456102608,1.6882147015626729e-32,1.8933211262156514e-32,2.215766527568508e-32
1.7181090545272635,721.6317152470519,1.7971553297739887e-32,1.896078943775401e-32,2.0401384143726823e-32
1.7201100550275135,720.7922425522758,1.5639509312427457e-32,1.5491015733518324e-32,1.5268597994562887e-32
1.722111055527764,719.9547207018155,1.0887893698784775e-32,1.0784515627912052e-32,1.0629673129334007e-32
1.724112056028014,719.1191429032351,3.956890443274528e-33,3.919320669726308e-33,3.86304763659552e-33
1.726113056528264,718.2855023955948,0.0,0.0,0.0
1.728114057028514,717.4537924492691,0.0,0.0,0.0
1.7301150575287645,716.6240063657654,0.0,0.0,0.0
1.7321160580290145,715.7961374775451,0.0,0.0,0.0
1.7341170585292647,714.9701791478436,2.330230145512481e-35,1.8914631487951367e-34,7.2294982952358826e-34
1.7361180590295147,714.1461247704941,6.345872366589221e-34,2.041393217858621e-33,4.641304335923162e-33
1.738119059529765,713.3239677697509,1.2310309957134535e-33,3.810217730811369e-33,8.278463912439e-33
1.7401200600300148,712.503701600115,4.721746727776263e-33,7.972882058348386e-33,1.3448734226545433e-32
1.7421210605302648,711.6853197461594,1.2650537698345461e-32,1.591408291434985e-32,2.1296687449640214e-32
1.7441220610305153,710.8688157223576,1.8293654644400903e-32,2.094500907538778e-32,2.5205091430432177e-32
1.7461230615307652,710.0541830729122,2.052005179945845e-32,2.203976461431591e-32,2.4342523476030512e-32
1.7481240620310154,709.2414153715839,1.885537806877813e-32,1.9064801213313658e-32,1.9364712772964222e-32
1.7501250625312659,708.4305062215234,1.4065070356116468e-32,1.3931525716507547e-32,1.373149890720281e-32
1.7521260630315159,707.6214492551034,6.691439403576632e-33,6.627905710463823e-33,6.53274320934122e-33
1.7541270635317658,706.8142381337516,0.0,0.0,0.0
1.756128064032016,706.0088665477851,0.0,0.0,0.0
1.758129064532266,705.2053282162469,0.0,0.0,0.0
1.7601300650325165,704.4036168867414,0.0,0.0,0.0
1.7621310655327662,703.6037263352732,1.3119825289731258e-35,1.0649448554232618e-34,4.070402863363726e-34
1.7641320660330162,702.8056503660854,4.981163964873603e-34,1.62533939687545e-33,3.75425482929958e-33
1.7661330665332666,702.0093828114998,1.2355122920248706e-33,3.8299602367000366e-33,8.337014389146016e-33
1.7681340670335168,701.2149175317583,2.833687136910013e-33,6.418745816424846e-33,1.2478546615606915e-32
