r_ocl_A,r_oh_A,theta_deg,ncas,nelecas,conv_cas,e_casscf_Ha,e_nevpt2_Ha,s2,gap_app_eV,status,wall_s
2.3,0.95,125.0,6,10,True,-536.1764547599741,-536.646066902263,1.9999999999999996,0.6632509152318983,ok,4.57
2.3,1.1,115.0,6,10,True,-536.1612528540202,-536.6368272865772,2.0000000000000018,0.667547430799544,ok,2.54
2.3,1.15,85.0,6,10,True,-536.1503366762448,-536.6296305090783,2.0000000000000004,0.6954297825693992,ok,2.66
2.3,1.0,95.0,6,10,True,-536.1765644358723,-536.6498772082658,1.9999999999999982,0.6835951313733072,ok,4.21
2.3,1.0,85.0,6,10,True,-536.1756730925828,-536.6495918501269,1.9999999999999996,0.6912732059534548,ok,4.32
2.3,1.0,105.0,6,10,True,-536.1764455479668,-536.6491853267022,2.000000000000001,0.6762042227821738,ok,4.19
2.3,1.05,105.0,6,10,True,-536.1705543971573,-536.645026253086,2.0,0.6766552906743645,ok,4.0
2.3,1.05,115.0,6,10,True,-536.1698035044201,-536.6436430582359,2.0000000000000013,0.6686047133966001,ok,4.09
2.3,1.0,135.0,6,10,True,-536.1730652231447,-536.6435441651316,2.0,0.6547731377343572,ok,4.2
2.3,1.05,75.0,6,10,True,-536.1672413512788,-536.6438989851429,1.9999999999999996,0.7047521868961623,ok,4.2
2.3,1.0,125.0,6,10,True,-536.1744596043284,-536.6458048636146,2.0000000000000004,0.6621263456950344,ok,4.22
2.3,1.05,135.0,6,10,True,-536.1672567268793,-536.6395093017182,1.9999999999999996,0.6510158290620787,ok,4.1
2.3,1.05,85.0,6,10,True,-536.1696438803001,-536.6453935081892,2.0000000000000013,0.6933581227841649,ok,4.19
2.3,1.0,115.0,6,10,True,-536.1756543189214,-536.6477506887958,1.9999999999999996,0.6690200942208436,ok,4.41
2.3,1.05,125.0,6,10,True,-536.1686361399089,-536.6417185377006,1.9999999999999991,0.6603532809190285,ok,4.2
2.3,1.1,85.0,6,10,True,-536.160918717115,-536.6384388702435,1.9999999999999996,0.6947301632663161,ok,4.2
2.3,1.1,75.0,6,10,True,-536.158431874929,-536.6369661629489,2.0,0.7083195202852147,ok,4.22
2.3,1.1,95.0,6,10,True,-536.1619656283328,-536.6387639742461,2.0,0.685137569177152,ok,4.2
2.3,1.15,105.0,6,10,True,-536.1515038662701,-536.6294300706179,1.9999999999999996,0.6755963038662574,ok,4.05
2.3,1.15,115.0,6,10,True,-536.1508418398512,-536.6281282978307,2.0000000000000018,0.6658972120836711,ok,3.97
2.3,1.1,125.0,6,10,True,-536.1601178116217,-536.6349493896462,2.0,0.657972167538194,ok,4.15
